EXP,35.21064348543294,1.53221762862145
EXP,51.10624472082632,1.62148942860315
EXP,34.3630401084424,1.60671936661201
EXP,48.09207230943618,1.59636988246664
HD,110.95206955206325,2.00372995797885
HD,106.44448266871017,1.97913106307356
HD,133.48701650723902,2.0267041348124
RV,28.62208940793468,1.4583474235062
RV,16.61958161978407,1.40006200569258
50C,51.01851076900572,1.70354865994547
50C,58.088303402778685,1.67946550926183
50C,39.79225481581522,1.72385454162393
50C,49.45615176908678,1.72640808639683
50C,63.74707985305153,1.72779788941634
50C,68.41867692187276,1.72094506702445
50C,63.05561361498184,1.73151400403339
50C,80.19504746699549,1.74780686443723
