EXP,30.283081374971907,1.4768127594597
EXP,30.44799703942042,1.52862572516883
EXP,26.452639971300467,1.48366359179573
EXP,25.510548799858384,1.50505487419601
HD,114.76600426893386,1.94953982536778
HD,113.77906746375666,1.94653610198368
HD,114.27162996419615,1.95537561534435
RV,11.643754175464093,1.27582778338437
RV,13.262971727309512,1.26449537824669
50C,49.18137873886275,1.61534179308673
50C,48.282678939583526,1.5877516915676
50C,39.85466920710747,1.63180569160258
50C,52.43790111844693,1.63060572470083
50C,55.76117063832963,1.66786720887189
50C,50.075206495669406,1.60808364257757
50C,49.867910565059034,1.64895799129139
50C,63.673959846065024,1.67331517491577
