EXP,32.92683468650779,1.46636828225223
EXP,32.46160274073554,1.52733640921889
EXP,30.962698280302913,1.50071817237169
EXP,32.91684918841408,1.5106229389128
HD,114.21230563361873,1.9504369232761
HD,115.84276359200018,1.94651731986873
HD,123.75456016392971,1.95455215284348
RV,9.334816622075621,1.2377618643455
RV,15.746509482045504,1.29515967629681
50C,41.59731794576853,1.58017710310974
50C,44.94743027759162,1.57317315405139
50C,44.77589246404996,1.63946007352635
50C,52.92702392286561,1.66834042211676
50C,54.03966909415471,1.67799574716002
50C,52.62383530578154,1.64494721118817
50C,47.653192409465944,1.63389930449498
50C,65.0159671533478,1.68404518341314
